Repositorie Name,Repositorie URL,Number Of Stars,Number Of Forks,Number Of Issues
begin-basic-crud-app,https://github.com//eahefnawy/begin-basic-crud-app,0,0,0
test-cloud-repo,https://github.com//eahefnawy/test-cloud-repo,0,0,0
aws-simple,https://github.com//eahefnawy/aws-simple,0,8,0
file-type,https://github.com//eahefnawy/file-type,0,276,0
lambda-mailer,https://github.com//eahefnawy/lambda-mailer,130,14,2
Gifski,https://github.com//eahefnawy/Gifski,0,237,0
serverless-next.js,https://github.com//eahefnawy/serverless-next.js,1,408,0
aws-cloudfront,https://github.com//eahefnawy/aws-cloudfront,0,1,0
prompts,https://github.com//eahefnawy/prompts,0,264,0
micro,https://github.com//eahefnawy/micro,0,0,0
Users,https://github.com//eahefnawy/Users,0,0,0
serverless-api-gateway-caching,https://github.com//eahefnawy/serverless-api-gateway-caching,0,26,0
backend.js,https://github.com//eahefnawy/backend.js,2,1,0
markdown-magic,https://github.com//eahefnawy/markdown-magic,0,212,0
serverless-github-app-demo,https://github.com//eahefnawy/serverless-github-app-demo,3,0,0
buffer-js,https://github.com//eahefnawy/buffer-js,2,2,0
serverless-mailer,https://github.com//eahefnawy/serverless-mailer,199,25,8
component-url-test,https://github.com//eahefnawy/component-url-test,1,0,0
cayan,https://github.com//eahefnawy/cayan,0,0,0
build-for-lambda,https://github.com//eahefnawy/build-for-lambda,0,2,0
serverless-mailer-function,https://github.com//eahefnawy/serverless-mailer-function,7,0,0
site,https://github.com//eahefnawy/site,0,129,0
serverless-thumbnails,https://github.com//eahefnawy/serverless-thumbnails,38,6,1
serverless-authorizer,https://github.com//eahefnawy/serverless-authorizer,35,9,0
serverless-boilerplate,https://github.com//eahefnawy/serverless-boilerplate,12,5,0
SketchUp,https://github.com//eahefnawy/SketchUp,0,4,0
eahefnawy.github.io,https://github.com//eahefnawy/eahefnawy.github.io,1,0,0
serverless,https://github.com//eahefnawy/serverless,0,5.3k,0
react,https://github.com//eahefnawy/react,0,38.9k,0
apex,https://github.com//eahefnawy/apex,0,568,0
serverless-meta-sync,https://github.com//eahefnawy/serverless-meta-sync,1,13,0
serverless-slack-webhook,https://github.com//eahefnawy/serverless-slack-webhook,8,1,0
serverless-stripe-webhook,https://github.com//eahefnawy/serverless-stripe-webhook,27,1,0
serverless-twilio,https://github.com//eahefnawy/serverless-twilio,41,3,1
to-upload,https://github.com//eahefnawy/to-upload,0,0,0
dakatrety.com,https://github.com//eahefnawy/dakatrety.com,3,2,0
accounts-coinbase,https://github.com//eahefnawy/accounts-coinbase,4,0,1
paperplane,https://github.com//eahefnawy/paperplane,11,1,0
lambda-sms,https://github.com//eahefnawy/lambda-sms,2,0,0
paperplane-lambdas,https://github.com//eahefnawy/paperplane-lambdas,3,0,0
flypaperplane.com,https://github.com//eahefnawy/flypaperplane.com,1,0,0
drool,https://github.com//eahefnawy/drool,0,55,0
thaumaturgy,https://github.com//eahefnawy/thaumaturgy,1,11,0
awsm-images,https://github.com//eahefnawy/awsm-images,0,3,0
meteor-highlightjs-javascript,https://github.com//eahefnawy/meteor-highlightjs-javascript,0,0,0
meteor-onepage-scroll-0.9,https://github.com//eahefnawy/meteor-onepage-scroll-0.9,0,0,0
meteor-onepage-scroll,https://github.com//eahefnawy/meteor-onepage-scroll,0,0,0
reaction-search,https://github.com//eahefnawy/reaction-search,0,0,0
reaction-braintree,https://github.com//eahefnawy/reaction-braintree,0,0,0
reaction-stripe,https://github.com//eahefnawy/reaction-stripe,0,0,0
reaction-coupons,https://github.com//eahefnawy/reaction-coupons,0,0,0
reaction-glassware,https://github.com//eahefnawy/reaction-glassware,0,0,0
glassball,https://github.com//eahefnawy/glassball,0,0,0
CamNote,https://github.com//eahefnawy/CamNote,0,0,0
awsm,https://github.com//eahefnawy/awsm,0,12,0
awsm-users,https://github.com//eahefnawy/awsm-users,0,10,0
awsm-loggly,https://github.com//eahefnawy/awsm-loggly,0,1,0
Nodemailer,https://github.com//eahefnawy/Nodemailer,0,1.3k,0
consolidate.js,https://github.com//eahefnawy/consolidate.js,0,372,0
nodemailer-wellknown,https://github.com//eahefnawy/nodemailer-wellknown,0,37,0
yellow-sdk-ruby,https://github.com//eahefnawy/yellow-sdk-ruby,0,2,0
awesome-remote-job,https://github.com//eahefnawy/awesome-remote-job,0,2.2k,0
yellow-sdk-node,https://github.com//eahefnawy/yellow-sdk-node,0,2,0
yellow-sdk-python2,https://github.com//eahefnawy/yellow-sdk-python2,0,3,0
yellowdemo,https://github.com//eahefnawy/yellowdemo,0,4,0
slate,https://github.com//eahefnawy/slate,0,21.5k,0
accounts-entry,https://github.com//eahefnawy/accounts-entry,0,195,0
meteor-blog,https://github.com//eahefnawy/meteor-blog,0,127,0
reaction-core,https://github.com//eahefnawy/reaction-core,0,0,0
meteor-accounts-t9n,https://github.com//eahefnawy/meteor-accounts-t9n,0,89,0
meteor-billing,https://github.com//eahefnawy/meteor-billing,0,9,0
reaction,https://github.com//eahefnawy/reaction,0,2.1k,0
pdf-extract,https://github.com//eahefnawy/pdf-extract,0,73,0
